Time,Unsubtracted Heat Flow,Baseline Heat Flow,Program Temperature,Sample Temperature,Approx. Gas Flow,Heat Flow Calibration,Uncorrected Heat Flow, 
0.0,-0.2802,0.0,30.0,56.65,0.0,1.0,-0.2802, 
0.166667,0.0161,0.0,30.0,56.529,0.0,1.0,0.0161, 
0.333333,0.0673,0.0,30.0,56.416,0.0,1.0,0.0673, 
0.5,0.0701,0.0,30.0,56.32,0.0,1.0,0.0701, 
0.666667,0.0682,0.0,30.0,56.233,0.0,1.0,0.0682, 
0.833333,0.0656,0.0,30.0,56.158,0.0,1.0,0.0656, 
1.0,0.0637,0.0,30.0,56.091,0.0,1.0,0.0637, 
1.166667,0.0624,0.0,30.0,56.029,0.0,1.0,0.0624, 
1.333333,0.0612,0.0,30.0,55.975,0.0,1.0,0.0612, 
1.5,0.0603,0.0,30.0,55.925,0.0,1.0,0.0603, 
1.666667,0.0593,0.0,30.0,55.879,0.0,1.0,0.0593, 
1.833333,0.0587,0.0,30.0,55.841,0.0,1.0,0.0587, 
2.0,0.0582,0.0,30.0,55.804,0.0,1.0,0.0582, 
2.166667,0.058,0.0,30.0,55.766,0.0,1.0,0.058, 
2.333333,0.0578,0.0,30.0,55.737,0.0,1.0,0.0578, 
2.5,0.0584,0.0,30.0,55.708,0.0,1.0,0.0584, 
2.666667,0.0579,0.0,30.0,55.687,0.0,1.0,0.0579, 
2.833333,0.0574,0.0,30.0,55.662,0.0,1.0,0.0574, 
3.0,0.0576,0.0,30.0,55.641,0.0,1.0,0.0576, 
3.166667,0.0578,0.0,30.0,55.625,0.0,1.0,0.0578, 
3.333333,0.0581,0.0,30.0,55.604,0.0,1.0,0.0581, 
3.5,0.0583,0.0,30.0,55.583,0.0,1.0,0.0583, 
3.666667,0.0579,0.0,30.0,55.57,0.0,1.0,0.0579, 
3.833333,0.0589,0.0,30.0,55.554,0.0,1.0,0.0589, 
4.0,0.0586,0.0,30.0,55.545,0.0,1.0,0.0586, 
4.166667,0.0589,0.0,30.0,55.525,0.0,1.0,0.0589, 
4.333333,0.0595,0.0,30.0,55.512,0.0,1.0,0.0595, 
4.5,0.0596,0.0,30.0,55.5,0.0,1.0,0.0596, 
4.666667,0.0594,0.0,30.0,55.491,0.0,1.0,0.0594, 
4.833333,0.06,0.0,30.0,55.479,0.0,1.0,0.06, 
5.0,0.06,0.0,30.0,55.462,0.0,1.0,0.06, 
5.166667,0.1083,0.0,31.591,55.454,0.0,1.0,0.1083, 
5.333333,0.1594,0.0,33.254,55.445,0.0,1.0,0.1594, 
5.5,0.2094,0.0,34.92,55.433,0.0,1.0,0.2094, 
5.666667,0.2597,0.0,36.583,55.42,0.0,1.0,0.2597, 
5.833333,0.3103,0.0,38.245,55.416,0.0,1.0,0.3103, 
6.0,0.3606,0.0,39.912,55.404,0.0,1.0,0.3606, 
6.166667,0.411,0.0,41.575,55.395,0.0,1.0,0.411, 
6.333333,0.4615,0.0,43.237,55.383,0.0,1.0,0.4615, 
6.5,0.5117,0.0,44.904,55.375,0.0,1.0,0.5117, 
6.666667,0.562,0.0,46.566,55.366,0.0,1.0,0.562, 
6.833333,0.6126,0.0,48.233,55.354,0.0,1.0,0.6126, 
7.0,0.6631,0.0,49.895,55.345,0.0,1.0,0.6631, 
7.166667,0.7134,0.0,51.558,55.337,0.0,1.0,0.7134, 
7.333333,0.7295,0.0,53.225,55.329,0.0,1.0,0.7295, 
7.5,-1.0542,0.0,54.887,56.366,0.0,1.0,-1.0542, 
7.666667,-0.0529,0.0,56.55,57.983,0.0,1.0,-0.0529, 
7.833333,0.1086,0.0,58.216,59.625,0.0,1.0,0.1086, 
8.0,0.1585,0.0,59.879,61.262,0.0,1.0,0.1585, 
8.166667,0.1965,0.0,61.541,62.904,0.0,1.0,0.1965, 
8.333333,0.2339,0.0,63.208,64.554,0.0,1.0,0.2339, 
8.5,0.2692,0.0,64.87,66.204,0.0,1.0,0.2692, 
8.666667,0.3043,0.0,66.533,67.845,0.0,1.0,0.3043, 
8.833333,0.3417,0.0,68.2,69.5,0.0,1.0,0.3417, 
9.0,0.3771,0.0,69.862,71.145,0.0,1.0,0.3771, 
9.166667,0.413,0.0,71.525,72.795,0.0,1.0,0.413, 
9.333333,0.4476,0.0,73.191,74.445,0.0,1.0,0.4476, 
9.5,0.4836,0.0,74.854,76.1,0.0,1.0,0.4836, 
9.666667,0.5182,0.0,76.516,77.758,0.0,1.0,0.5182, 
9.833333,0.5543,0.0,78.183,79.408,0.0,1.0,0.5543, 
10.0,0.5895,0.0,79.845,81.066,0.0,1.0,0.5895, 
10.166667,0.6241,0.0,81.508,82.72,0.0,1.0,0.6241, 
10.333333,0.6593,0.0,83.175,84.379,0.0,1.0,0.6593, 
10.5,0.693,0.0,84.837,86.029,0.0,1.0,0.693, 
10.666667,0.7328,0.0,86.5,87.683,0.0,1.0,0.7328, 
10.833333,0.7657,0.0,88.166,89.333,0.0,1.0,0.7657, 
11.0,0.8003,0.0,89.829,90.979,0.0,1.0,0.8003, 
11.166667,0.8385,0.0,91.491,92.637,0.0,1.0,0.8385, 
11.333333,0.8718,0.0,93.158,94.295,0.0,1.0,0.8718, 
11.5,0.9122,0.0,94.82,95.945,0.0,1.0,0.9122, 
11.666667,0.9551,0.0,96.487,97.6,0.0,1.0,0.9551, 
11.833333,0.9956,0.0,98.15,99.25,0.0,1.0,0.9956, 
12.0,1.034,0.0,99.812,100.908,0.0,1.0,1.034, 
12.166667,1.0747,0.0,101.479,102.562,0.0,1.0,1.0747, 
12.333333,1.1162,0.0,103.141,104.216,0.0,1.0,1.1162, 
12.5,1.1454,0.0,104.804,105.875,0.0,1.0,1.1454, 
12.666667,1.1898,0.0,106.47,107.529,0.0,1.0,1.1898, 
12.833333,1.2295,0.0,108.133,109.183,0.0,1.0,1.2295, 
13.0,1.2709,0.0,109.795,110.845,0.0,1.0,1.2709, 
13.166667,1.313,0.0,111.462,112.504,0.0,1.0,1.313, 
13.333333,1.3555,0.0,113.125,114.158,0.0,1.0,1.3555, 
13.5,1.398,0.0,114.787,115.816,0.0,1.0,1.398, 
13.666667,1.4432,0.0,116.454,117.475,0.0,1.0,1.4432, 
13.833333,1.4874,0.0,118.116,119.133,0.0,1.0,1.4874, 
14.0,1.5286,0.0,119.779,120.787,0.0,1.0,1.5286, 
14.166667,1.5751,0.0,121.445,122.45,0.0,1.0,1.5751, 
14.333333,1.6172,0.0,123.108,124.104,0.0,1.0,1.6172, 
14.5,1.6597,0.0,124.77,125.762,0.0,1.0,1.6597, 
14.666667,1.7043,0.0,126.437,127.429,0.0,1.0,1.7043, 
14.833333,1.7486,0.0,128.1,129.087,0.0,1.0,1.7486, 
15.0,1.7942,0.0,129.762,130.75,0.0,1.0,1.7942, 
15.166667,1.8354,0.0,131.429,132.412,0.0,1.0,1.8354, 
15.333333,1.954,0.0,133.091,134.07,0.0,1.0,1.954, 
15.5,1.9569,0.0,134.754,135.725,0.0,1.0,1.9569, 
15.666667,1.9937,0.0,136.42,137.395,0.0,1.0,1.9937, 
15.833333,2.0469,0.0,138.083,139.058,0.0,1.0,2.0469, 
16.0,2.0932,0.0,139.745,140.72,0.0,1.0,2.0932, 
16.166667,2.1371,0.0,141.412,142.375,0.0,1.0,2.1371, 
16.333333,2.1806,0.0,143.075,144.029,0.0,1.0,2.1806, 
16.5,2.2258,0.0,144.737,145.691,0.0,1.0,2.2258, 
16.666667,2.2755,0.0,146.404,147.35,0.0,1.0,2.2755, 
16.833333,2.3247,0.0,148.066,149.008,0.0,1.0,2.3247, 
17.0,2.3716,0.0,149.733,150.666,0.0,1.0,2.3716, 
17.166667,2.4124,0.0,151.395,152.325,0.0,1.0,2.4124, 
17.333333,2.4678,0.0,153.058,153.979,0.0,1.0,2.4678, 
17.5,2.5166,0.0,154.725,155.645,0.0,1.0,2.5166, 
17.666667,2.5652,0.0,156.387,157.3,0.0,1.0,2.5652, 
17.833333,2.6083,0.0,158.05,158.966,0.0,1.0,2.6083, 
18.0,2.659,0.0,159.716,160.629,0.0,1.0,2.659, 
