Time,Unsubtracted Heat Flow,Baseline Heat Flow,Program Temperature,Sample Temperature,Approx. Gas Flow,Heat Flow Calibration,Uncorrected Heat Flow, 
0.0,-0.3442,0.0,30.0,60.737,0.0,1.0,-0.3442, 
0.166667,-0.1698,0.0,30.0,60.645,0.0,1.0,-0.1698, 
0.333333,-0.1394,0.0,30.0,60.558,0.0,1.0,-0.1394, 
0.5,-0.1391,0.0,30.0,60.487,0.0,1.0,-0.1391, 
0.666667,-0.1416,0.0,30.0,60.42,0.0,1.0,-0.1416, 
0.833333,-0.1432,0.0,30.0,60.358,0.0,1.0,-0.1432, 
1.0,-0.1443,0.0,30.0,60.304,0.0,1.0,-0.1443, 
1.166667,-0.1449,0.0,30.0,60.258,0.0,1.0,-0.1449, 
1.333333,-0.1445,0.0,30.0,60.208,0.0,1.0,-0.1445, 
1.5,-0.1449,0.0,30.0,60.17,0.0,1.0,-0.1449, 
1.666667,-0.1453,0.0,30.0,60.137,0.0,1.0,-0.1453, 
1.833333,-0.1453,0.0,30.0,60.095,0.0,1.0,-0.1453, 
2.0,-0.145,0.0,30.0,60.07,0.0,1.0,-0.145, 
2.166667,-0.1452,0.0,30.0,60.041,0.0,1.0,-0.1452, 
2.333333,-0.145,0.0,30.0,60.016,0.0,1.0,-0.145, 
2.5,-0.1443,0.0,30.0,59.991,0.0,1.0,-0.1443, 
2.666667,-0.144,0.0,30.0,59.966,0.0,1.0,-0.144, 
2.833333,-0.1432,0.0,30.0,59.945,0.0,1.0,-0.1432, 
3.0,-0.1436,0.0,30.0,59.925,0.0,1.0,-0.1436, 
3.166667,-0.1428,0.0,30.0,59.904,0.0,1.0,-0.1428, 
3.333333,-0.1424,0.0,30.0,59.879,0.0,1.0,-0.1424, 
3.5,-0.1424,0.0,30.0,59.866,0.0,1.0,-0.1424, 
3.666667,-0.1414,0.0,30.0,59.85,0.0,1.0,-0.1414, 
3.833333,-0.1413,0.0,30.0,59.829,0.0,1.0,-0.1413, 
4.0,-0.1406,0.0,30.0,59.816,0.0,1.0,-0.1406, 
4.166667,-0.1406,0.0,30.0,59.8,0.0,1.0,-0.1406, 
4.333333,-0.1395,0.0,30.0,59.783,0.0,1.0,-0.1395, 
4.5,-0.1397,0.0,30.0,59.766,0.0,1.0,-0.1397, 
4.666667,-0.1387,0.0,30.0,59.754,0.0,1.0,-0.1387, 
4.833333,-0.1382,0.0,30.0,59.737,0.0,1.0,-0.1382, 
5.0,-0.1385,0.0,30.0,59.729,0.0,1.0,-0.1385, 
5.166667,-0.0893,0.0,31.591,59.708,0.0,1.0,-0.0893, 
5.333333,-0.0389,0.0,33.254,59.695,0.0,1.0,-0.0389, 
5.5,0.012,0.0,34.92,59.687,0.0,1.0,0.012, 
5.666667,0.0626,0.0,36.583,59.675,0.0,1.0,0.0626, 
5.833333,0.1126,0.0,38.245,59.662,0.0,1.0,0.1126, 
6.0,0.1634,0.0,39.912,59.641,0.0,1.0,0.1634, 
6.166667,0.2143,0.0,41.575,59.637,0.0,1.0,0.2143, 
6.333333,0.2645,0.0,43.237,59.625,0.0,1.0,0.2645, 
6.5,0.3152,0.0,44.904,59.612,0.0,1.0,0.3152, 
6.666667,0.3659,0.0,46.566,59.6,0.0,1.0,0.3659, 
6.833333,0.4162,0.0,48.229,59.583,0.0,1.0,0.4162, 
7.0,0.467,0.0,49.895,59.57,0.0,1.0,0.467, 
7.166667,0.5178,0.0,51.558,59.562,0.0,1.0,0.5178, 
7.333333,0.5676,0.0,53.22,59.55,0.0,1.0,0.5676, 
7.5,0.6188,0.0,54.887,59.537,0.0,1.0,0.6188, 
7.666667,0.6693,0.0,56.55,59.525,0.0,1.0,0.6693, 
7.833333,-2.3226,0.0,58.212,59.879,0.0,1.0,-2.3226, 
8.0,-0.4492,0.0,59.879,61.42,0.0,1.0,-0.4492, 
8.166667,0.0592,0.0,61.541,63.05,0.0,1.0,0.0592, 
8.333333,0.1506,0.0,63.204,64.7,0.0,1.0,0.1506, 
8.5,0.1948,0.0,64.87,66.337,0.0,1.0,0.1948, 
8.666667,0.233,0.0,66.533,67.983,0.0,1.0,0.233, 
8.833333,0.272,0.0,68.2,69.629,0.0,1.0,0.272, 
9.0,0.3095,0.0,69.862,71.275,0.0,1.0,0.3095, 
9.166667,0.3463,0.0,71.525,72.92,0.0,1.0,0.3463, 
9.333333,0.3832,0.0,73.191,74.579,0.0,1.0,0.3832, 
9.5,0.4199,0.0,74.854,76.225,0.0,1.0,0.4199, 
9.666667,0.4572,0.0,76.516,77.875,0.0,1.0,0.4572, 
9.833333,0.4957,0.0,78.183,79.525,0.0,1.0,0.4957, 
10.0,0.5332,0.0,79.845,81.175,0.0,1.0,0.5332, 
10.166667,0.5685,0.0,81.508,82.829,0.0,1.0,0.5685, 
10.333333,0.6068,0.0,83.175,84.491,0.0,1.0,0.6068, 
10.5,0.6467,0.0,84.837,86.141,0.0,1.0,0.6467, 
10.666667,0.684,0.0,86.5,87.787,0.0,1.0,0.684, 
10.833333,0.7161,0.0,88.166,89.433,0.0,1.0,0.7161, 
11.0,0.7488,0.0,89.829,91.083,0.0,1.0,0.7488, 
11.166667,0.7969,0.0,91.491,92.741,0.0,1.0,0.7969, 
11.333333,0.8359,0.0,93.158,94.391,0.0,1.0,0.8359, 
11.5,0.8756,0.0,94.82,96.045,0.0,1.0,0.8756, 
11.666667,0.9194,0.0,96.483,97.695,0.0,1.0,0.9194, 
11.833333,0.9596,0.0,98.15,99.345,0.0,1.0,0.9596, 
12.0,0.9986,0.0,99.812,101.004,0.0,1.0,0.9986, 
12.166667,1.0493,0.0,101.475,102.662,0.0,1.0,1.0493, 
12.333333,1.0969,0.0,103.141,104.312,0.0,1.0,1.0969, 
12.5,1.1434,0.0,104.804,105.97,0.0,1.0,1.1434, 
12.666667,1.188,0.0,106.466,107.625,0.0,1.0,1.188, 
12.833333,1.2444,0.0,108.133,109.275,0.0,1.0,1.2444, 
13.0,1.301,0.0,109.795,110.933,0.0,1.0,1.301, 
13.166667,1.3542,0.0,111.458,112.591,0.0,1.0,1.3542, 
13.333333,1.4362,0.0,113.125,114.245,0.0,1.0,1.4362, 
13.5,1.4581,0.0,114.787,115.9,0.0,1.0,1.4581, 
13.666667,1.5098,0.0,116.454,117.562,0.0,1.0,1.5098, 
13.833333,1.5697,0.0,118.116,119.212,0.0,1.0,1.5697, 
14.0,1.6263,0.0,119.779,120.879,0.0,1.0,1.6263, 
14.166667,1.6809,0.0,121.445,122.529,0.0,1.0,1.6809, 
14.333333,1.6822,0.0,123.108,124.191,0.0,1.0,1.6822, 
14.5,1.7115,0.0,124.77,125.845,0.0,1.0,1.7115, 
